tournament,count
Friendly,5073
FIFA World Cup qualification,3422
African Cup of Nations qualification,1052
UEFA Euro qualification,1016
UEFA Nations League,658
CONCACAF Nations League,422
African Cup of Nations,365
AFC Asian Cup qualification,269
FIFA World Cup,256
Gold Cup,225
COSAFA Cup,201
UEFA Euro,184
Copa América,170
AFC Asian Cup,166
AFF Championship,150
Island Games,149
CFU Caribbean Cup qualification,144
CECAFA Cup,142
Gulf Cup,107
CONIFA World Football Cup,101
EAFF Championship,79
SAFF Cup,79
Pacific Games,75
Arab Cup,74
CONCACAF Nations League qualification,68
WAFF Championship,61
FIFA Series,57
AFC Challenge Cup qualification,54
Indian Ocean Island Games,49
CONIFA European Football Cup,49
CFU Caribbean Cup,46
AFC Challenge Cup,45
Oceania Nations Cup,44
UNCAF Cup,38
AFF Championship qualification,36
CONCACAF Series,35
Gold Cup qualification,34
Baltic Cup,32
Confederations Cup,32
King's Cup,31
Coupe de l'Outre-Mer,30
Viva World Cup,29
ASEAN Championship,26
Muratti Vase,24
MSG Prime Minister's Cup,23
Kirin Challenge Cup,22
ABCS Tournament,20
Inter Games,19
Intercontinental Cup,17
Kirin Cup,15
Pacific Mini Games,15
Nile Basin Tournament,14
AFC Solidarity Cup,13
Arab Cup qualification,13
Philippine Peace Cup,12
Windward Islands Tournament,12
Palestine International Championship,11
Nehru Cup,11
CAFA Nations Cup,10
Dragon Cup,9
Superclásico de las Américas,8
CONIFA Asia Cup,8
Unity Cup,8
"International Tournament of Peoples, Cultures and Tribes",7
Mahinda Rajapaksa Cup,7
Tri Nation Tournament,7
Mapinduzi Cup,7
VFF Cup,6
Nations Cup,6
Tynwald Hill Tournament,6
"Morocco, Capital of African Football",6
Mauritius Four Nations Cup,5
CONIFA World Football Cup qualification,5
EAFF Championship qualification,5
Corsica Cup,4
Cyprus International Tournament,4
OSN Cup,4
Copa América qualification,4
Navruz Cup,4
CONIFA Africa Football Cup,4
Jordan International Tournament,4
Merdeka Tournament,4
Canadian Shield,4
Al Ain International Cup,4
Diamond Jubilee International Football Tournament,4
Niamh Challenge Cup,3
Hungary Heritage Cup,3
World Unity Cup,3
Three Nations Cup,3
CONIFA South America Football Cup,3
Soccer Ashes,3
Oceania Nations Cup qualification,3
Tri-Nations Series,3
Outrigger Challenge Cup,3
Copa Paz del Chaco,2
Copa del Pacífico,2
Atlantic Heritage Cup,2
Marianas Cup,2
ASEAN Championship qualification,2
Mukuru 4 Nations,2
Tri-Nations Cup,2
Copa Confraternidad,1
Benedikt Fontana Cup,1
ConIFA Challenger Cup,1
CONIFA World Cup qualification,1
CONMEBOL–UEFA Cup of Champions,1
South Asian Super Cup,1
